"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate	Age Adjusted Rate
	"DeKalb County, GA"	"13089"	21538	3619508	595.1	694.8
	"Dodge County, GA"	"13091"	1118	104977	1065.0	953.0
	"Dooly County, GA"	"13093"	610	70444	865.9	758.6
	"Dougherty County, GA"	"13095"	4632	461631	1003.4	947.7
	"Douglas County, GA"	"13097"	4536	691416	656.0	826.4
	"Early County, GA"	"13099"	706	52398	1347.4	1030.3
	"Echols County, GA"	"13101"	141	20123	700.7	828.2
	"Effingham County, GA"	"13103"	2042	279261	731.2	890.2
	"Elbert County, GA"	"13105"	1281	96970	1321.0	982.5
	"Emanuel County, GA"	"13107"	1386	113615	1219.9	1087.4
	"Evans County, GA"	"13109"	586	53666	1091.9	997.1
	"Fannin County, GA"	"13111"	1657	120084	1379.9	885.4
	"Fayette County, GA"	"13113"	4085	547473	746.2	650.3
	"Floyd County, GA"	"13115"	5234	480995	1088.2	924.2
	"Forsyth County, GA"	"13117"	4990	1019207	489.6	624.0
	"Franklin County, GA"	"13119"	1463	110939	1318.7	1014.8
	"Fulton County, GA"	"13121"	31889	4983785	639.9	725.7
	"Gilmer County, GA"	"13123"	1471	144779	1016.0	748.7
	"Glascock County, GA"	"13125"	207	15264	1356.1	1047.0
	"Glynn County, GA"	"13127"	4111	413116	995.1	801.3
	"Gordon County, GA"	"13129"	2497	280397	890.5	904.9
	"Grady County, GA"	"13131"	1285	125727	1022.1	879.5
	"Greene County, GA"	"13133"	950	82674	1149.1	785.4
	"Gwinnett County, GA"	"13135"	19497	4371210	446.0	650.8
	"Habersham County, GA"	"13137"	2157	218621	986.6	814.7
	"Hall County, GA"	"13139"	7064	952411	741.7	731.5
	"Hancock County, GA"	"13141"	480	43736	1097.5	804.5
	"Haralson County, GA"	"13143"	1734	143337	1209.7	1076.2
	"Harris County, GA"	"13145"	1236	164960	749.3	661.7
	"Hart County, GA"	"13147"	1429	127588	1120.0	815.6
	"Heard County, GA"	"13149"	624	57854	1078.6	953.8
	"Henry County, GA"	"13151"	7012	1070857	654.8	839.6
	"Houston County, GA"	"13153"	5342	745684	716.4	791.7
	"Irwin County, GA"	"13155"	525	46823	1121.2	874.5
	"Jackson County, GA"	"13157"	2922	310657	940.6	1003.4
	"Jasper County, GA"	"13159"	669	67857	985.9	917.9
	"Jeff Davis County, GA"	"13161"	846	74765	1131.5	1118.9
	"Jefferson County, GA"	"13163"	1101	81003	1359.2	1090.7
	"Jenkins County, GA"	"13165"	514	45277	1135.2	979.0
	"Johnson County, GA"	"13167"	476	48469	982.1	841.2
	"Jones County, GA"	"13169"	1148	143506	800.0	725.0
	"Lamar County, GA"	"13171"	1042	90975	1145.4	1005.1
	"Lanier County, GA"	"13173"	432	51911	832.2	893.7
	"Laurens County, GA"	"13175"	2728	239010	1141.4	934.7
	"Lee County, GA"	"13177"	966	145672	663.1	819.9
	"Liberty County, GA"	"13179"	1652	319744	516.7	822.5
	"Lincoln County, GA"	"13181"	443	38561	1148.8	833.4
	"Long County, GA"	"13183"	476	86213	552.1	800.9
	"Lowndes County, GA"	"13185"	4207	569492	738.7	862.8
	"Lumpkin County, GA"	"13187"	1251	155472	804.6	770.6
	"McDuffie County, GA"	"13189"	1123	107788	1041.9	930.7
	"McIntosh County, GA"	"13191"	646	69706	926.7	649.2
	"Macon County, GA"	"13193"	749	69229	1081.9	1019.7
	"Madison County, GA"	"13195"	1455	141809	1026.0	939.3
	"Marion County, GA"	"13197"	368	43229	851.3	739.6
	"Meriwether County, GA"	"13199"	1304	105975	1230.5	968.1
	"Miller County, GA"	"13201"	409	29553	1384.0	973.7
	"Mitchell County, GA"	"13205"	1181	113892	1036.9	915.5
	"Monroe County, GA"	"13207"	1265	135220	935.5	761.3
	"Montgomery County, GA"	"13209"	406	45023	901.8	868.5
	"Morgan County, GA"	"13211"	922	89715	1027.7	813.7
	"Murray County, GA"	"13213"	1823	196791	926.4	962.8
	"Muscogee County, GA"	"13215"	9386	1001516	937.2	953.8
	"Newton County, GA"	"13217"	4048	519507	779.2	868.8
	"Oconee County, GA"	"13219"	1097	175356	625.6	632.3
	"Oglethorpe County, GA"	"13221"	665	73713	902.1	743.5
	"Paulding County, GA"	"13223"	4019	749151	536.5	746.7
	"Peach County, GA"	"13225"	1479	134533	1099.4	1120.9
	"Pickens County, GA"	"13227"	1576	149959	1051.0	833.2
	"Pierce County, GA"	"13229"	1016	95152	1067.8	957.2
	"Pike County, GA"	"13231"	860	89216	964.0	914.6
	"Polk County, GA"	"13233"	2387	206313	1157.0	1075.3
	"Pulaski County, GA"	"13235"	560	57299	977.3	730.4
	"Putnam County, GA"	"13237"	1207	106293	1135.5	850.1
	"Quitman County, GA"	"13239"	129	11715	1101.2	735.0
	"Rabun County, GA"	"13241"	1041	81562	1276.3	804.0
	"Randolph County, GA"	"13243"	455	36120	1259.7	861.0
	"Richmond County, GA"	"13245"	9962	1007090	989.2	1002.1
	"Rockdale County, GA"	"13247"	3263	437844	745.2	781.6
	"Schley County, GA"	"13249"	193	25446	758.5	718.6
	"Screven County, GA"	"13251"	843	70568	1194.6	968.1
	"Seminole County, GA"	"13253"	633	43481	1455.8	1023.6
	"Spalding County, GA"	"13255"	3620	320028	1131.2	993.8
	"Stephens County, GA"	"13257"	1747	127918	1365.7	1117.7
	"Stewart County, GA"	"13259"	343	28957	1184.5	988.6
	"Sumter County, GA"	"13261"	1667	155348	1073.1	974.8
	"Talbot County, GA"	"13263"	397	31864	1245.9	941.2
	"Taliaferro County, GA"	"13265"	116	8278	1401.3	811.3
	"Tattnall County, GA"	"13267"	1175	126302	930.3	994.1
	"Taylor County, GA"	"13269"	489	41768	1170.8	907.0
	"Telfair County, GA"	"13271"	772	82023	941.2	778.1
	"Terrell County, GA"	"13273"	535	45660	1171.7	945.7
	"Thomas County, GA"	"13275"	2548	224885	1133.0	903.7
	"Tift County, GA"	"13277"	1991	203455	978.6	923.0
	"Toombs County, GA"	"13279"	1570	135801	1156.1	1032.8
	"Towns County, GA"	"13281"	833	54878	1517.9	778.5
	"Treutlen County, GA"	"13283"	342	33555	1019.2	887.8
	"Troup County, GA"	"13285"	3370	346571	972.4	914.4
	"Turner County, GA"	"13287"	564	40756	1383.8	1054.9
	"Twiggs County, GA"	"13289"	532	41813	1272.3	1008.4
	"Union County, GA"	"13291"	1504	110167	1365.2	736.8
	"Upson County, GA"	"13293"	1780	131970	1348.8	1074.3
	"Walker County, GA"	"13295"	4165	340717	1222.4	1014.2
	"Walton County, GA"	"13297"	4062	437182	929.1	892.4
	"Ware County, GA"	"13299"	2224	178357	1246.9	1016.8
	"Warren County, GA"	"13301"	404	27519	1468.1	1030.8
	"Washington County, GA"	"13303"	1080	103401	1044.5	857.0
	"Wayne County, GA"	"13305"	1628	150032	1085.1	1017.3
	"Webster County, GA"	"13307"	98	13358	733.6	522.0
	"Wheeler County, GA"	"13309"	323	39661	814.4	798.9
	"White County, GA"	"13311"	1342	140702	953.8	730.4
	"Whitfield County, GA"	"13313"	4161	518264	802.9	829.6
	"Wilcox County, GA"	"13315"	532	44422	1197.6	982.0
	"Wilkes County, GA"	"13317"	724	49618	1459.1	966.8
	"Wilkinson County, GA"	"13319"	594	46559	1275.8	996.2
	"Worth County, GA"	"13321"	1045	104941	995.8	818.2
	"Hawaii County, HI"	"15001"	7955	968402	821.5	636.1
	"Honolulu County, HI"	"15003"	37333	4934996	756.5	577.6
	"Kalawao County, HI"	"15005"	.	443	.	.
	"Kauai County, HI"	"15007"	2707	352233	768.5	572.1
	"Maui County, HI"	"15009"	5516	812290	679.1	573.9
	"Ada County, ID"	"16001"	13835	2128991	649.8	660.8
	"Adams County, ID"	"16003"	179	19325	926.3	640.1
	"Bannock County, ID"	"16005"	3470	419077	828.0	851.5
	"Bear Lake County, ID"	"16007"	310	29642	1045.8	762.1
	"Benewah County, ID"	"16009"	629	45341	1387.3	1031.8
	"Bingham County, ID"	"16011"	1762	226306	778.6	795.2
	"Blaine County, ID"	"16013"	511	107134	477.0	469.2
	"Boise County, ID"	"16015"	260	34456	754.6	603.7
	"Bonner County, ID"	"16017"	2075	206947	1002.7	715.1
	"Bonneville County, ID"	"16019"	4092	544944	750.9	783.2
	"Boundary County, ID"	"16021"	540	55706	969.4	710.3
	"Butte County, ID"	"16023"	136	12959	1049.5	781.2
	"Camas County, ID"	"16025"	30	5298	566.3	449.7
	"Canyon County, ID"	"16027"	7019	1013909	692.3	743.8
	"Caribou County, ID"	"16029"	323	34063	948.2	764.6
	"Cassia County, ID"	"16031"	963	117204	821.6	784.5
	"Clark County, ID"	"16033"	41	4342	944.3	901.3
	"Clearwater County, ID"	"16035"	535	42640	1254.7	785.0
	"Custer County, ID"	"16037"	204	20924	975.0	665.5
	"Elmore County, ID"	"16039"	922	130517	706.4	791.3
	"Franklin County, ID"	"16041"	489	65063	751.6	708.6
	"Fremont County, ID"	"16043"	523	64481	811.1	741.8
	"Gem County, ID"	"16045"	1015	84267	1204.5	817.6
	"Gooding County, ID"	"16047"	710	75785	936.9	784.9
	"Idaho County, ID"	"16049"	953	81255	1172.9	754.0
	"Jefferson County, ID"	"16051"	766	135480	565.4	678.4
	"Jerome County, ID"	"16053"	855	113472	753.5	822.1
	"Kootenai County, ID"	"16055"	6544	738579	886.0	730.9
	"Latah County, ID"	"16057"	1125	192963	583.0	637.2
	"Lemhi County, ID"	"16059"	490	38715	1265.7	748.1
	"Lewis County, ID"	"16061"	204	19128	1066.5	629.7
	"Lincoln County, ID"	"16063"	193	26462	729.3	756.3
	"Madison County, ID"	"16065"	620	190570	325.3	658.5
	"Minidoka County, ID"	"16067"	842	101655	828.3	688.4
	"Nez Perce County, ID"	"16069"	2537	199976	1268.7	849.8
	"Oneida County, ID"	"16071"	194	21343	909.0	626.1
	"Owyhee County, ID"	"16073"	462	56781	813.7	724.6
	"Payette County, ID"	"16075"	1018	113863	894.1	758.1
	"Power County, ID"	"16077"	332	38478	862.8	868.2
	"Shoshone County, ID"	"16079"	917	62757	1461.2	985.0
	"Teton County, ID"	"16081"	196	52187	375.6	567.3
	"Twin Falls County, ID"	"16083"	3664	404776	905.2	798.7
	"Valley County, ID"	"16085"	364	49487	735.5	555.6
	"Washington County, ID"	"16087"	588	50174	1171.9	724.5
	"Adams County, IL"	"17001"	3960	334744	1183.0	780.0
	"Alexander County, IL"	"17003"	501	35255	1421.1	1018.5
	"Bond County, IL"	"17005"	868	85687	1013.0	765.1
	"Boone County, IL"	"17007"	1995	268280	743.6	720.2
	"Brown County, IL"	"17009"	267	34178	781.2	727.7
	"Bureau County, IL"	"17011"	1955	169112	1156.0	740.3
	"Calhoun County, IL"	"17013"	267	24812	1076.1	639.4
	"Carroll County, IL"	"17015"	945	73967	1277.6	756.9
	"Cass County, IL"	"17017"	754	65339	1154.0	878.5
	"Champaign County, IL"	"17019"	6268	1032101	607.3	652.5
	"Christian County, IL"	"17021"	2076	169440	1225.2	828.5
	"Clark County, IL"	"17023"	1004	80446	1248.0	867.8
	"Clay County, IL"	"17025"	869	67330	1290.7	877.6
	"Clinton County, IL"	"17027"	1742	189289	920.3	705.7
	"Coles County, IL"	"17029"	2579	264008	976.9	810.3
	"Cook County, IL"	"17031"	200056	26137875	765.4	716.0
	"Crawford County, IL"	"17033"	1178	97205	1211.9	843.3
	"Cumberland County, IL"	"17035"	560	54452	1028.4	726.7
	"DeKalb County, IL"	"17037"	3489	522291	668.0	725.2
	"De Witt County, IL"	"17039"	935	81611	1145.7	839.0
	"Douglas County, IL"	"17041"	994	98850	1005.6	760.0
	"DuPage County, IL"	"17043"	30224	4652570	649.6	591.9
	"Edgar County, IL"	"17045"	1225	89139	1374.3	888.8
	"Edwards County, IL"	"17047"	377	33062	1140.3	780.3
	"Effingham County, IL"	"17049"	1779	171782	1035.6	783.0
	"Fayette County, IL"	"17051"	1111	110125	1008.9	750.9
	"Ford County, IL"	"17053"	999	68790	1452.2	884.3
	"Franklin County, IL"	"17055"	2703	197516	1368.5	981.3
	"Fulton County, IL"	"17057"	2275	180236	1262.2	843.6
	"Gallatin County, IL"	"17059"	390	26625	1464.8	980.1
	"Greene County, IL"	"17061"	795	66950	1187.5	837.3
	"Grundy County, IL"	"17063"	1935	251690	768.8	768.9
	"Hamilton County, IL"	"17065"	516	41255	1250.8	784.7
	"Hancock County, IL"	"17067"	1029	93164	1104.5	657.9
	"Hardin County, IL"	"17069"	315	20866	1509.6	1039.2
	"Henderson County, IL"	"17071"	428	34831	1228.8	725.6
	"Henry County, IL"	"17073"	2653	248403	1068.0	745.7
	"Iroquois County, IL"	"17075"	1906	144071	1323.0	852.0
	"Jackson County, IL"	"17077"	2338	295938	790.0	759.9
	"Jasper County, IL"	"17079"	539	47962	1123.8	772.3
	"Jefferson County, IL"	"17081"	2195	192615	1139.6	845.7
	"Jersey County, IL"	"17083"	1262	112206	1124.7	832.2
	"Jo Daviess County, IL"	"17085"	1226	110930	1105.2	644.6
	"Johnson County, IL"	"17087"	603	64330	937.4	729.6
	"Kane County, IL"	"17089"	15269	2633074	579.9	624.7
	"Kankakee County, IL"	"17091"	5494	557467	985.5	829.5
	"Kendall County, IL"	"17093"	2747	607259	452.4	644.6
	"Knox County, IL"	"17095"	3458	258758	1336.4	883.0
	"Lake County, IL"	"17097"	22121	3514448	629.4	628.1
	"LaSalle County, IL"	"17099"	6537	559675	1168.0	821.0
	"Lawrence County, IL"	"17101"	1012	82912	1220.6	903.0
	"Lee County, IL"	"17103"	1814	173589	1045.0	761.4
	"Livingston County, IL"	"17105"	2132	186388	1143.9	820.2
	"Logan County, IL"	"17107"	1736	149100	1164.3	842.1
	"McDonough County, IL"	"17109"	1555	158636	980.2	793.0
	"McHenry County, IL"	"17111"	10064	1535414	655.5	700.7
	"McLean County, IL"	"17113"	5707	866271	658.8	686.9
	"Macon County, IL"	"17115"	6187	542022	1141.5	818.7
	"Macoupin County, IL"	"17117"	2844	232408	1223.7	841.5
	"Madison County, IL"	"17119"	13967	1333796	1047.2	845.1
	"Marion County, IL"	"17121"	2562	192517	1330.8	942.8
	"Marshall County, IL"	"17123"	802	60298	1330.1	814.6
	"Mason County, IL"	"17125"	938	69656	1346.6	872.7
	"Massac County, IL"	"17127"	1055	74414	1417.7	939.1
	"Menard County, IL"	"17129"	643	62879	1022.6	747.4
	"Mercer County, IL"	"17131"	927	79856	1160.8	750.3
	"Monroe County, IL"	"17133"	1414	168513	839.1	635.8
	"Montgomery County, IL"	"17135"	1792	146506	1223.2	811.6
	"Morgan County, IL"	"17137"	1973	174003	1133.9	789.6
	"Moultrie County, IL"	"17139"	944	74576	1265.8	816.1
	"Ogle County, IL"	"17141"	2521	260172	969.0	734.2
	"Peoria County, IL"	"17143"	9070	934091	971.0	808.5
	"Perry County, IL"	"17145"	1203	107977	1114.1	843.6
	"Piatt County, IL"	"17147"	866	82345	1051.7	761.9
	"Pike County, IL"	"17149"	1011	80271	1259.5	798.4
	"Pope County, IL"	"17151"	245	21273	1151.7	804.6
	"Pulaski County, IL"	"17153"	423	28962	1460.5	977.9
	"Putnam County, IL"	"17155"	292	28730	1016.4	708.0
	"Randolph County, IL"	"17157"	1864	164668	1132.0	825.0
	"Richland County, IL"	"17159"	1055	80359	1312.9	826.7
	"Rock Island County, IL"	"17161"	7830	732678	1068.7	777.1
	"St. Clair County, IL"	"17163"	12504	1327844	941.7	835.8
	"Saline County, IL"	"17165"	1801	123294	1460.7	1030.6
	"Sangamon County, IL"	"17167"	9551	993196	961.6	775.8
	"Schuyler County, IL"	"17169"	428	36024	1188.1	781.6
	"Scott County, IL"	"17171"	303	25845	1172.4	815.7
	"Shelby County, IL"	"17173"	1195	110056	1085.8	694.2
	"Stark County, IL"	"17175"	404	29199	1383.6	791.3
	"Stephenson County, IL"	"17177"	2690	231413	1162.4	719.8
	"Tazewell County, IL"	"17179"	7009	677001	1035.3	775.8
	"Union County, IL"	"17181"	1140	87290	1306.0	902.2
	"Vermilion County, IL"	"17183"	4876	398065	1224.9	933.3
	"Wabash County, IL"	"17185"	707	57937	1220.3	798.9
	"Warren County, IL"	"17187"	916	88057	1040.2	739.8
	"Washington County, IL"	"17189"	801	71844	1114.9	751.8
	"Wayne County, IL"	"17191"	1048	82587	1269.0	865.3
	"White County, IL"	"17193"	1120	72048	1554.5	938.7
	"Whiteside County, IL"	"17195"	3243	285777	1134.8	768.9
	"Will County, IL"	"17197"	21045	3426890	614.1	698.4
	"Williamson County, IL"	"17199"	3756	336679	1115.6	867.5
	"Winnebago County, IL"	"17201"	14401	1444482	997.0	816.7
	"Woodford County, IL"	"17203"	1922	195616	982.5	710.7
	"Adams County, IN"	"18001"	1562	174066	897.4	731.5
	"Allen County, IN"	"18003"	15708	1827823	859.4	804.6
	"Bartholomew County, IN"	"18005"	3680	401013	917.7	808.8
	"Benton County, IN"	"18007"	444	43547	1019.6	811.6
	"Blackford County, IN"	"18009"	792	61820	1281.1	901.7
	"Boone County, IN"	"18011"	2605	309422	841.9	823.6
	"Brown County, IN"	"18013"	777	74824	1038.4	763.3
	"Carroll County, IN"	"18015"	908	100036	907.7	686.3
	"Cass County, IN"	"18017"	2035	191619	1062.0	825.0
	"Clark County, IN"	"18019"	5918	569964	1038.3	955.7
	"Clay County, IN"	"18021"	1518	132839	1142.7	900.9
	"Clinton County, IN"	"18023"	1850	163459	1131.8	879.1
	"Crawford County, IN"	"18025"	576	52911	1088.6	917.0
	"Daviess County, IN"	"18027"	1677	162917	1029.4	897.1
	"Dearborn County, IN"	"18029"	2309	247759	932.0	816.0
	"Decatur County, IN"	"18031"	1351	131700	1025.8	854.5
	"De Kalb County, IN"	"18033"	2060	212444	969.7	836.8
	"Delaware County, IN"	"18035"	6198	582313	1064.4	888.2
	"Dubois County, IN"	"18037"	2024	211724	956.0	748.6
	"Elkhart County, IN"	"18039"	8394	1008200	832.6	771.0
	"Fayette County, IN"	"18041"	1593	118039	1349.6	1025.7
	"Floyd County, IN"	"18043"	3768	381451	987.8	873.4
	"Fountain County, IN"	"18045"	1037	83707	1238.8	867.0
	"Franklin County, IN"	"18047"	1054	114435	921.0	769.7
	"Fulton County, IN"	"18049"	1165	102058	1141.5	875.4
	"Gibson County, IN"	"18051"	1787	168419	1061.0	827.3
	"Grant County, IN"	"18053"	4052	341343	1187.1	915.3
	"Greene County, IN"	"18055"	1920	163163	1176.7	888.5
	"Hamilton County, IN"	"18057"	7550	1515209	498.3	602.2
	"Hancock County, IN"	"18059"	3130	359773	870.0	789.1
	"Harrison County, IN"	"18061"	1954	196849	992.6	845.9
	"Hendricks County, IN"	"18063"	5408	779085	694.1	727.9
	"Henry County, IN"	"18065"	2916	244763	1191.4	893.0
	"Howard County, IN"	"18067"	5013	413642	1211.9	910.9
	"Huntington County, IN"	"18069"	2101	183481	1145.1	885.0
	"Jackson County, IN"	"18071"	2326	218183	1066.1	907.2
	"Jasper County, IN"	"18073"	1628	167305	973.1	839.3
	"Jay County, IN"	"18075"	1180	105980	1113.4	904.2
	"Jefferson County, IN"	"18077"	1864	162412	1147.7	954.7
	"Jennings County, IN"	"18079"	1444	140117	1030.6	989.6
	"Johnson County, IN"	"18081"	6302	737835	854.1	801.9
	"Knox County, IN"	"18083"	2227	189778	1173.5	923.3
	"Kosciusko County, IN"	"18085"	3515	392307	896.0	796.1
	"Lagrange County, IN"	"18087"	1279	191977	666.2	709.1
	"Lake County, IN"	"18089"	23962	2448492	978.6	844.4
	"La Porte County, IN"	"18091"	5979	554966	1077.4	898.9
	"Lawrence County, IN"	"18093"	2788	228481	1220.2	921.9
	"Madison County, IN"	"18095"	7489	649308	1153.4	908.8
	"Marion County, IN"	"18097"	39540	4660712	848.4	884.8
	"Marshall County, IN"	"18099"	2315	234167	988.6	761.3
	"Martin County, IN"	"18101"	535	51088	1047.2	819.7
	"Miami County, IN"	"18103"	1875	180465	1039.0	864.3
	"Monroe County, IN"	"18105"	4532	716460	632.6	692.7
	"Montgomery County, IN"	"18107"	1969	190540	1033.4	809.7
	"Morgan County, IN"	"18109"	3318	347519	954.8	876.9
	"Newton County, IN"	"18111"	778	70108	1109.7	843.4
	"Noble County, IN"	"18113"	2199	237937	924.2	821.0
	"Ohio County, IN"	"18115"	311	30015	1036.1	768.4
	"Orange County, IN"	"18117"	1147	97897	1171.6	937.1
	"Owen County, IN"	"18119"	1171	105191	1113.2	958.8
	"Parke County, IN"	"18121"	795	85165	933.5	763.5
	"Perry County, IN"	"18123"	1055	96506	1093.2	835.2
	"Pike County, IN"	"18125"	746	62772	1188.4	878.6
	"Porter County, IN"	"18127"	7055	835082	844.8	762.4
	"Posey County, IN"	"18129"	1188	127635	930.8	759.6
	"Pulaski County, IN"	"18131"	757	64552	1172.7	881.0
	"Putnam County, IN"	"18133"	1782	188132	947.2	815.0
	"Randolph County, IN"	"18135"	1477	127017	1162.8	841.2
	"Ripley County, IN"	"18137"	1532	143166	1070.1	836.2
	"Rush County, IN"	"18139"	978	84367	1159.2	862.7
	"St. Joseph County, IN"	"18141"	13057	1338479	975.5	820.9
	"Scott County, IN"	"18143"	1516	118671	1277.5	1128.8
	"Shelby County, IN"	"18145"	2174	222020	979.2	815.3
	"Spencer County, IN"	"18147"	962	103883	926.0	706.8
	"Starke County, IN"	"18149"	1356	115344	1175.6	996.7
	"Steuben County, IN"	"18151"	1600	171396	933.5	758.3
	"Sullivan County, IN"	"18153"	1206	105130	1147.2	939.9
	"Switzerland County, IN"	"18155"	529	52418	1009.2	878.6
	"Tippecanoe County, IN"	"18157"	5733	916987	625.2	728.6
	"Tipton County, IN"	"18159"	901	77236	1166.6	811.2
	"Union County, IN"	"18161"	363	36253	1001.3	812.9
	"Vanderburgh County, IN"	"18163"	9763	908459	1074.7	867.2
	"Vermillion County, IN"	"18165"	1018	78762	1292.5	936.5
	"Vigo County, IN"	"18167"	5725	540493	1059.2	915.6
	"Wabash County, IN"	"18169"	2122	160883	1319.0	864.2
	"Warren County, IN"	"18171"	415	41545	998.9	714.8
	"Warrick County, IN"	"18173"	2674	307133	870.6	722.8
	"Washington County, IN"	"18175"	1549	138962	1114.7	981.9
	"Wayne County, IN"	"18177"	4305	337116	1277.0	932.9
	"Wells County, IN"	"18179"	1432	139182	1028.9	754.6
	"White County, IN"	"18181"	1409	121324	1161.4	816.1
	"Whitley County, IN"	"18183"	1493	166772	895.2	717.8
	"Adair County, IA"	"19001"	555	36652	1514.2	801.2
	"Adams County, IA"	"19003"	256	19111	1339.5	812.8
	"Allamakee County, IA"	"19005"	824	70007	1177.0	721.6
	"Appanoose County, IA"	"19007"	852	63009	1352.2	842.1
	"Audubon County, IA"	"19009"	411	28966	1418.9	754.3
	"Benton County, IA"	"19011"	1117	128599	868.6	633.7
	"Black Hawk County, IA"	"19013"	5972	664105	899.3	744.9
	"Boone County, IA"	"19015"	1457	132057	1103.3	783.8
	"Bremer County, IA"	"19017"	1067	123315	865.3	574.1
	"Buchanan County, IA"	"19019"	1024	105156	973.8	748.6
	"Buena Vista County, IA"	"19021"	953	102223	932.3	669.6
	"Butler County, IA"	"19023"	924	74667	1237.5	711.4
	"Calhoun County, IA"	"19025"	715	49381	1447.9	765.6
	"Carroll County, IA"	"19027"	1223	102773	1190.0	691.8
	"Cass County, IA"	"19029"	985	67163	1466.6	859.7
	"Cedar County, IA"	"19031"	911	91944	990.8	629.1
	"Cerro Gordo County, IA"	"19033"	2533	216514	1169.9	744.5
	"Cherokee County, IA"	"19035"	825	58760	1404.0	728.5
	"Chickasaw County, IA"	"19037"	673	60820	1106.5	702.9
	"Clarke County, IA"	"19039"	548	46367	1181.9	840.3
	"Clay County, IA"	"19041"	965	82389	1171.3	696.3
	"Clayton County, IA"	"19043"	967	88674	1090.5	642.9
	"Clinton County, IA"	"19045"	2762	239858	1151.5	794.0
	"Crawford County, IA"	"19047"	812	85737	947.1	681.0
	"Dallas County, IA"	"19049"	2106	390372	539.5	580.2
	"Davis County, IA"	"19051"	437	43841	996.8	725.5
	"Decatur County, IA"	"19053"	462	41052	1125.4	801.8
	"Delaware County, IA"	"19055"	871	87223	998.6	654.8
	"Des Moines County, IA"	"19057"	2321	200569	1157.2	787.4
	"Dickinson County, IA"	"19059"	1019	85232	1195.6	644.4
	"Dubuque County, IA"	"19061"	4502	481794	934.4	701.1
	"Emmet County, IA"	"19063"	630	49099	1283.1	766.3
	"Fayette County, IA"	"19065"	1320	101953	1294.7	800.5
	"Floyd County, IA"	"19067"	972	80022	1214.7	719.2
	"Franklin County, IA"	"19069"	621	51965	1195.0	687.0
	"Fremont County, IA"	"19071"	488	35094	1390.6	832.1
	"Greene County, IA"	"19073"	630	45416	1387.2	773.9
	"Grundy County, IA"	"19075"	653	61866	1055.5	625.9
	"Guthrie County, IA"	"19077"	599	53454	1120.6	671.7
	"Hamilton County, IA"	"19079"	853	76135	1120.4	681.9
	"Hancock County, IA"	"19081"	626	55032	1137.5	702.0
	"Hardin County, IA"	"19083"	1102	86622	1272.2	704.9
	"Harrison County, IA"	"19085"	902	71676	1258.4	818.6
	"Henry County, IA"	"19087"	1061	99707	1064.1	747.9
	"Howard County, IA"	"19089"	539	47151	1143.1	666.1
	"Humboldt County, IA"	"19091"	587	48037	1222.0	712.6
	"Ida County, IA"	"19093"	451	35204	1281.1	683.2
	"Iowa County, IA"	"19095"	908	81632	1112.3	698.8
	"Jackson County, IA"	"19097"	1106	97644	1132.7	756.3
	"Jasper County, IA"	"19099"	1845	183576	1005.0	699.9
	"Jefferson County, IA"	"19101"	776	88308	878.7	638.8
	"Johnson County, IA"	"19103"	3518	710032	495.5	594.1
	"Jones County, IA"	"19105"	1047	102403	1022.4	682.6
	"Keokuk County, IA"	"19107"	601	51170	1174.5	720.7
	"Kossuth County, IA"	"19109"	942	76128	1237.4	660.8
	"Lee County, IA"	"19111"	2191	175861	1245.9	875.1
	"Linn County, IA"	"19113"	8585	1090381	787.3	684.4
	"Louisa County, IA"	"19115"	534	56256	949.2	729.8
	"Lucas County, IA"	"19117"	568	43500	1305.7	770.7
	"Lyon County, IA"	"19119"	534	58652	910.5	598.7
	"Madison County, IA"	"19121"	742	78306	947.6	727.5
	"Mahaska County, IA"	"19123"	1162	111620	1041.0	732.6
	"Marion County, IA"	"19125"	1675	165983	1009.1	758.5
	"Marshall County, IA"	"19127"	2377	203673	1167.1	825.7
	"Mills County, IA"	"19129"	666	74207	897.5	756.0
	"Mitchell County, IA"	"19131"	652	53783	1212.3	614.4
	"Monona County, IA"	"19133"	762	45067	1690.8	885.9
	"Monroe County, IA"	"19135"	540	39820	1356.1	898.6
	"Montgomery County, IA"	"19137"	736	51900	1418.1	813.0
	"Muscatine County, IA"	"19139"	2044	214743	951.8	795.0
	"O'Brien County, IA"	"19141"	955	70275	1358.9	721.0
	"Osceola County, IA"	"19143"	367	30770	1192.7	717.4
	"Page County, IA"	"19145"	1050	77760	1350.3	803.0
	"Palo Alto County, IA"	"19147"	638	45775	1393.8	749.6
	"Plymouth County, IA"	"19149"	1210	124859	969.1	663.1
	"Pocahontas County, IA"	"19151"	490	35306	1387.9	759.7
	"Polk County, IA"	"19153"	16645	2295795	725.0	747.6
	"Pottawattamie County, IA"	"19155"	4572	465991	981.1	796.4
	"Poweshiek County, IA"	"19157"	1118	93110	1200.7	749.6
	"Ringgold County, IA"	"19159"	373	25271	1476.0	760.2
	"Sac County, IA"	"19161"	708	50172	1411.1	734.8
	"Scott County, IA"	"19163"	7323	855581	855.9	741.5
	"Shelby County, IA"	"19165"	740	59721	1239.1	656.7
	"Sioux County, IA"	"19167"	1295	173105	748.1	559.1
	"Story County, IA"	"19169"	2525	474170	532.5	583.2
	"Tama County, IA"	"19171"	1027	87113	1178.9	742.4
	"Taylor County, IA"	"19173"	393	31047	1265.8	706.2
